id,customer_id,seller_id,rating_num,rating_message,review_date
1,0,1,5,Seller was great!,2024-10-15 10:00:00
2,0,2,4,Good communication.,2024-10-16 11:30:00
3,1,3,5,Fast shipping.,2024-10-17 12:45:00
4,1,4,3,Okay experience.,2024-10-18 13:00:00
5,2,5,4,Good seller overall.,2024-10-19 14:15:00
6,2,6,5,Seller exceeded expectations.,2024-10-20 15:20:00
7,3,1,3,Could improve packaging.,2024-10-16 16:30:00
8,3,2,5,Very happy with service.,2024-10-17 17:40:00
9,4,3,4,Smooth transaction.,2024-10-18 18:50:00
10,4,4,2,Had a few issues.,2024-10-19 19:55:00
11,5,5,5,Great seller!,2024-10-20 20:00:00
12,5,6,4,Good communication.,2024-10-21 21:10:00
13,6,1,3,Average seller.,2024-10-22 22:25:00
14,6,2,5,Superb service.,2024-10-23 23:30:00
